NOMBRE;CIRCUNSCRIPCION;FORMACIONELECTORAL;FECHACONDICIONPLENA;FECHAALTA;GRUPOPARLAMENTARIO;FECHAALTAENGRUPOPARLAMENTARIO;FECHABAJAENGRUPOPARLAMENTARIO;BIOGRAFIA
Abades Martínez, Cristina;Lugo;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho por la Universidad de Santiago de Compostela.   1995.   Funcionaria de administración local, letrada asesora del Ayuntamiento de Cervo.   2006.   Subdirectora de la Asesoría Jurídica de la Diputación Provincial de Lugo 2015.   Jefa territorial en Lugo de la Consejería de Política Social de la Xunta de Galicia 2018 2021.   Jefa de Área Técnica en Lugo en el Servicio de Emergencias de la Xunta de Galicia.   Concejala del grupo municipal del Partido Popular de Lugo 2019 2023.   Vicesecretaria de Acción Social y miembro del Comité Ejecutivo Provincial del Partido Popular de Lugo.   Diploma de Directivo en el ámbito de la administración local de Galicia. 
Ábalos Meco, José Luis;Valencia/València;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Maestro 
Consultor de Cooperación Internacional 
Jefe de Gabinete del delegado del Gobierno en la Comunitat Valenciana (1983-1987)  
Jefe de Gabinete del conseller de Treball i Seguretat Social de la Generalitat Valenciana (1988-1991)  
Director del Programa de Cooperación Internacional de la Generalitat Valenciana (1989-1992)  
Asesor del Ayuntamiento de Valencia (1992-1999)  Concejal del Ayuntamiento de Valencia (1999-2009)  Diputado Provincial de Valencia (2003-2007)  Ministro de Fomento (2018-2020)  Ministro de Transportes, Movilidad y Agenda Urbana (2020-2021)"
Abascal Conde, Santiago;Madrid;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado. Cuatro hijos.  Presidente de VOX  Licenciado en Sociología
Acedo Reyes, Sofía;Melilla;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Abogada, socióloga y mediadora.   Licenciada en Sociología y Ciencias Políticas, especialidad Sociología.   Graduada en Derecho.   Mediadora oficial del Ministerio de Justicia.   Cargo público desde 2011, Diputada autonómica Melilla.   2011-2015, Viceconsejera y presidenta promesa.   2015-2016, Consejera.   Desde 2015-2016 senadora. 
Aceves Galindo, José Luis;Segovia;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casado. Tres hijos, dos hijos y una hija.  Graduado en Ciencias Políticas y de la Administración por la UNED  Técnico Auxiliar Forestal. Escuela de
Capataces Forestales de Coca (Segovia)  BUP - IES Cauca Romana  Concejal del Ayuntamiento de Coca (Segovia) (2003-2015)  Diputado Provincial Segovia (2003-2015)  Procurador a Cortes de Castilla y León (2015-2019)  Actualmente Secretario General Provincial del PSOE de Segovia"
Adrio Taracido, María;Pontevedra;PsdeG-PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Residió siempre en Pontevedra, donde ejerció la abogacía hasta el 15 de junio de 2021 en que dio de baja como ejerciente en el ilustre Colegio Abogados de Pontevedra.   Casada y con dos hijos.   Licenciada en Derecho y Diplomada en Criminología.   Concejal del Ayuntamiento de Pontevedra 1990 1995.   Senadora, XIII y XIV Legislatura. 
Agirretxea Urresti, Joseba Andoni;Gipuzkoa;EAJ-PNV;17/08/2023;16/08/2023;Grupo Parlamentario Vasco (EAJ-PNV);18/08/2023;;Estudios de Filología Vasca (Universidad de Deusto).   Asesor de Comunicación en instituciones públicas y privadas.  Profesional de la comunicación y consultor.   Profesional de radio y televisión.  Concejal en Ondarroa (1987-1990).
Agüera Gago, Cristina;Barcelona;PP;17/08/2023;07/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Graduada en Derecho, Máster en Asesoría Fiscal y Máster Abogacía ESADE.   Segunda teniente de Alcalde de Badalona.  Concejal del Ayuntamiento de Badalona. Portavoz Grupo municipal Popular desde 2019.
Aguirre Gil de Biedma, Rocío;Madrid;VOX;16/01/2024;16/01/2024;Grupo Parlamentario VOX;16/01/2024;;Licenciada en Geografía e Historia por la Universidad Complutense de Madrid. MBA por el Instituto de Empresa
Aizcorbe Torra, Juan José;Barcelona;VOX;17/08/2023;02/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado y tres hijos.   Licenciado en Derecho por la Universidad de Barcelona  Abogado  Administrador concursal 
Aizpurua Arzallus, Mertxe;Gipuzkoa;EH Bildu;17/08/2023;14/08/2023;Grupo Parlamentario Euskal Herria Bildu;18/08/2023;;Casada, un hijo  Licenciada en Ciencias de la Información  Alcaldesa de Usurbil (2011-2015)  Presidenta de Udalbiltza (2012-2015)
Alcaraz Martos, Francisco José;Jaén;VOX;17/08/2023;01/08/2023;Grupo Parlamentario VOX;18/08/2023;;Viudo  Empresario  Senador durante la XII y XIII Legislaturas
Alfonso Cendón, Javier;León;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Doctor en Ingeniería.  Máster EMBA, UPM.  Máster en Energías Renovables, Universidad de León.  Máster Profesional en Tecnologías de Seguridad, Universidad de León.  Ingeniero en Informática.  Profesor titular de universidad.  Secretario General del PSOE de León.
Alfonso Silvestre, Alma;Valencia/València;PP;17/08/2023;10/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Casada. Dos hijos. . Enseñanza primaria y bachiller en el Liceo Francés de Valencia. Licenciada en Derecho por la Universidad de Valencia. Máster de la Escuela de Práctica Jurídica impartido por el Ilustre Colegio de Abogados de Valencia.  Experiencia profesional: autónoma en el sector inmobiliario; directora de despacho de abogados; asesora jurídica y directora de relaciones institucionales de la Federación Nacional de Trabajadores Autónomos.  Miembro de la Junta Directiva y del Comité Ejecutivo del PP de Valencia. Secretaria ejecutiva de Economía, PYMES y Autónomos de la Vicesecretaría Sectorial. Miembro del Comité Ejecutivo autonómico del PP Comunidad Valenciana. Vicesecretaria de Empleo, emprendimientos e infraestructuras. Secretaria de Autónomos.  Miembro de la Junta Directiva de ATACV"
Alía Aguado, María Pilar;Toledo;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada, dos hijos.  Licenciada en Ciencias Económicas y Empresariales.  Experto contable acreditado.  Máster en Fiscalidad Internacional y Comunitaria.  Máster en Auditoría.  Máster en Gestión Presupuestaria.  Senadora XIV Legislatura.  Portavoz de Hacienda en el Senado
Almodóvar Sánchez, Emilia;Cáceres;PSOE;19/12/2023;19/12/2023;Grupo Parlamentario Socialista;19/12/2023;;Diplomatura Trabajo Social  FP Superior Integración Social  Técnico en Mediación Familiar, Civil, Mercantil  Técnico en Prevención de Riesgos Laborales.  Actividad profesional trabajo social ""Centro Sociosanitario""  Militante activa
Alonso Cantorné, Fèlix;Tarragona;SUMAR;17/08/2023;14/08/2023;Grupo Parlamentario Plurinacional SUMAR;04/09/2023;;Geografía e Historia por la Universidad Central de Barcelona.   Director General de Relaciones Institucionales y con el Parlamento de Catalunya, 2006-2010.   Alcalde de Altafulla, 2011-2019.   Diputado en las legislaturas XI y XII.   Director General de Consumo del Gobierno Balear. 
Alós López, Ana Isabel;Huesca;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Dos hijas.  Licenciada en Ciencias Económicas en la Universidad de Zaragoza (1987-1992). Máster en Administración y Dirección de Empresas en ICADE. Programa de Liderazgo en Innovación en Deusto. Programa de Liderazgo en Gestión Pública en IESE. Ejercicio como economista en su propia empresa (1996-2008).  Concejal en el Ayuntamiento de Huesca (2003-2015) y (2019-2020). Alcaldesa de Huesca (2011-2015). Diputada provincial (2015). Diputada en el Congreso (2016-2019). Senadora (2019- actualidad). Diputada Autonómica Aragón (2023) (junio-agosto).
Álvarez de Toledo Peralta-Ramos, Cayetana;Madrid;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada y Doctora en Historia por la Universidad de Oxford.  Periodista.  Miembro del Consejo Científico del Instituto Elcano.  Miembro del Patronato de FAES.
Álvarez Fanjul, Beatriz;Bizkaia;PP;17/08/2023;07/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;
Álvarez González, Alicia;S/C Tenerife;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Geografía con formación superior en Medio Ambiente, Recursos Humanos y Administraciones Públicas.   Actualmente finalizando el grado de Derecho.   Ha desarrollado puestos de gestión en el Gobierno de Canarias, Viceconsejera de Administraciones Públicas y Transparencia, Directora General de Modernización, Directora General de Dependencia y Discapacidad y Concejala de Atención Social del Ayuntamiento de Santa Cruz de Tenerife. 
Álvaro Vidal, Francesc-Marc;Barcelona;ERC;17/08/2023;10/08/2023;Grupo Parlamentario Republicano;28/08/2023;;Licenciado en Ciencias de la información.   Periodista, escritor y profesor universitario.   Autor de varios libros de temática política y sociológica.   Último título publicado, ""Ensayo general de una revuelta"", Galaxia Gutenberg
Andala Ubbi, Teslem;Madrid;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Ingeniera Informática por la Universidad de Alicante. Ingeniera Big Data por la Universidad Europea. Team Legal Big Data. Santander Global Technologies.
Andrés Añón, Carmen;Barcelona;PSC-PSOE;17/08/2023;04/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Derecho.  Funcionaria de la Generalitat de Catalunya  Concejal del Ayuntamiento de Barcelona de 2007 a 2019. 
Antona Gómez, Asier;S/C Tenerife;PP;17/08/2023;11/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado y padre de tres niños.  Licenciado en Ciencias Políticas y de la Administración.  Presidente del PP de Las Palmas.  Secretario General PP Canarias.  Presidente PP Canarias.  Presidente Grupo Parlamentario PP Canarias.  Alcalde de Santa Cruz de La Palma.  Miembro de la Junta Directiva Nacional.  Secretario Política Electoral PP Nacional.  Senador por la Comunidad Autónoma de Canarias.  Portavoz adjunto en el Senado
Aragonés Mendiguchía, Carlos;Madrid;PP;17/08/2023;11/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Filosofía por la UCM.  Senador durante la XII Legislatura por Madrid
Aranda Vargas, Francisco;Barcelona;PSC-PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Derecho por la UB (2000)  Posgraduado en Ciencia Política (UB)  Posgrado en Práctica Jurídica (ICAB)  Viceprimer Secretario del PSC de la Federación Vallès Occidental Sud (Actualidad).  Vive en pareja y es padre de una hija.
Argota Castro, Trinidad Carmen;Sevilla;PSOE;17/08/2023;04/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casada, una hija.  Diplomatura del profesorado, especialidad de Ciencias Sociales en la Escuela Universitaria del Profesorado de la EGB de Sevilla.   Concejala del Excelentísimo Ayuntamiento de La Rinconada (Sevilla) desde el mandato 1991-1995 hasta el 28 de julio del 2023.   Diputada Exma. Diputación de Sevilla desde el mandato 2007-2011 hasta el 6 de julio de 2023. 
Argüelles García, Silverio;Asturias;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, dos hijos.   Técnico superior en Administración y finanzas.   Vicesecretario del PP de Asturias.   Secretario General PP Llanera.   Portavoz PP Ayuntamiento de Llanera. 
Armario González, Blanca;Cádiz;VOX;17/08/2023;10/08/2023;Grupo Parlamentario VOX;18/08/2023;;Funcionaria de la Consejería de Educación de Andalucía desde 2005.   Diputada por Cádiz en el Parlamento de Andalucía 2022.   Diplomada en Magisterio de Educación Primaria, especialidad en Lengua Extranjera, Inglés.   Ha ostentado cargo de secretaria y dirección de centro educativo público.   Afiliada a Vox, nunca anteriormente a ningún otro partido político.   Presidente del actual CEP provincial. 
Armengol Socias, Francina;Balears (Illes);PSIB-PSOE;17/08/2023;09/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Farmacia.  Postgrado en Dermofarmacia.  Secretaria General PSIB-PSOE Illes Balears.  Ha sido dos legislaturas Presidenta del Govern de las Illes Balears (2015-2023) y una legislatura Presidenta del Consell Insular de Mallorca (2007-2011)
Arribas Maroto, Manuel;Ávila;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Diplomado Altos Estudios de la Defensa Nacional CESEDEN  MBA Administración y Dirección de Empresas  Alcalde de Sanchidrián 
Asarta Cuevas, Alberto;Castellón/Castelló;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado. Dos hijos y 5 nietos  Militar de carrera retirado con el grado de General de División
Azorín Salar, Lázaro;Alicante/Alacant;PSOE;17/08/2023;14/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Diplomado en Magisterio Educación Física.  Licenciado en Psicopedagogía.  Actividad: Maestro de Educación Primaria.  Secretario General de Agrupación Local Pinoso  Secretario de Relaciones Institucionales Comisión Ejecutiva Provincial. 
Alcalde de Pinoso (Alicante).  Secretario de Comarcas de la Comisión Ejecutiva Provincial"
Badia Casas, Eloi;Barcelona;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Activista ambiental y social.  Ingeniero industrial en la Universidad Politécnica de Cataluña. Responsable de proyectos de agua y energía en la ONG Ingeniería sin Fronteras Cataluña (2007-2015).  Concejal de Emergencia Climática y Transición Energética del Ayuntamiento de Barcelona. (2015-2023).  Ha participado en proyectos de cooperación en Ecuador, Argentina, India y Paraguay.
Bassa Coll, Montserrat;Girona;ERC;17/08/2023;16/08/2023;Grupo Parlamentario Republicano;28/08/2023;;Licenciada en Filosofía y Letras (Especialidad en Ciencias de la Educación y en Gestión y Organización de Centros)
Beamonte Mesa, Luis María;Zaragoza;PP;17/08/2023;14/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Cursados los estudios de la Licenciatura de Derecho. Curso Escuela Práctica Jurídica Universidad de Zaragoza. Programa de Liderazgo para la gestión pública IESE Madrid. Profesional autónomo en el ámbito de la consultoría y asesoría de empresas.  Alcalde de Tarazona (Zaragoza) (2007-2019). Presidente de la Diputación de Zaragoza (2011-2015). Diputado en las Cortes de Aragón (2015-2023). Portavoz del Grupo PP en las Cortes de Aragón (2019-2023).  Presidente PP Provincia de Zaragoza (2008-2017). Presidente autonómico PP Aragón (2017-2021).
Belarra Urteaga, Ione;Madrid;SUMAR;17/08/2023;11/08/2023;Grupo Parlamentario Mixto;05/12/2023;;"Grado Superior en Integración Social. Licenciada en Psicología. Máster en psicología de la educación. Segundo año de doctorado en Educación, Desarrollo y Aprendizaje. 
Ha trabajado en Cruz Roja, Comisión Española de Ayuda al Refugiado, MECD y Universidad Autónoma de Madrid. 
SOS Racismo. Consejo Ciudadano de Navarra Podemos. Consejo Ciudadano Estatal Podemos."
Belda Pérez-Pedrero, Enrique;Ciudad Real;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Casado. Dos hijos.  Catedrático de Derecho Constitucional.  Consejo Consultivo de Castilla La Mancha (2006-2019). Concejal del Ayuntamiento de Ciudad Real (1991-2000; 2019-2023).  Autor de numerosas publicaciones de su ámbito científico."
Belmonte Gómez, Rafael Benigno;Sevilla;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, tres hijos.  Abogado.  Director General Participación Ciudadana Ayuntamiento de Sevilla (2011).  Concejal Ayuntamiento de Sevilla (2012-2015, 2016-2023)
Bendodo Benasayag, Elías;Málaga;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Derecho.  Abogado  Coordinador General del Partido Popular.
Bermúdez de Castro Fernández, José Antonio;Salamanca;PP;17/08/2023;04/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Casado. Un hijo. 
Licenciado en Derecho por la Universidad de Salamanca. Especialidad Asesoría Jurídica y Fiscal de Empresas (lCADE). 
Gestor administrativo (no ejerciente). 
Secretario Ejecutivo y miembro del Comité Ejecutivo Nacional del Partido Popular (PP).
Portavoz Adjunto del Grupo Parlamentario Popular (GPP)"
Blanquer Alcaraz, Patricia;Alicante/Alacant;PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Ciencias Económicas y Empresariales (Universidad de Alicante). Máster en Auditoría y Gestión Empresarial. Curso de Especialista en Comunidades Europeas y Unión Europea.  XLIX Curso de Defensa Nacional impartido por el Centro Superior de Estudios de la Defensa Nacional (CESEDEN).  Ha sido profesora asociada en el Departamento de Investigación Operativa Aplicada y de Calidad (UPV) en EPSA, Alcoi y concejal y portavoz del Grupo Socialista del Excmo. Ayuntamiento de Alcoi.  Portavoz de Industria del Grupo Parlamentario Socialista en la X Legislatura. Portavoz de Hacienda en el Grupo Parlamentario Socialista en la XII, XIII y XIV Legislatura.  Secretaria de Industria, Comercio y Turismo de la Ejecutiva Federal del PSOE.
Boada Danés, Júlia;Girona;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;04/09/2023;;Licenciada en Ciencias Políticas y de la Administración por la Universitat Pumpeu Fabra (2011).  Máster en Estudios Europeos por la Université Libre de Bruxelles (2017)  Auxiliar en Investigación en el Institut de Govern i Polítiques Públiques (2012-2013)  Directora del Consell de la Joventut de Barcelona (2014-2016)  Becaria en la United Nations Office on Drugs and Crimes (2018)  Asesora en el European Green Party (2018-2023)  Miembro de las ejecutivas de Joves d'Esquerra Verda (2012-2016) y la Federation of Young European Greens (2014-2015)   Miembro del Consell Nacional de Catalunya en Comú (2021- )
Bolaños García, Félix;Madrid;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Soltero. Pareja de hecho.  Licenciado en Derecho.  Abogado.  Ministro de Presidencia, Relaciones con las Cortes y Memoria Democrática.  Secretario en la Ejecutiva del PSOE de Reforma Constitucional y Nuevos Derechos.
Borrego Cortés, Isabel María;Murcia;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho.   Máster en urbanismo y derecho inmobiliario, abogada no ejerciente en la actualidad.   Técnico superior en excedencia, administración institucional.   Directora General de Vivienda.   Secretaria de Estado de turismo, portavoz adjunta del Grupo Popular. 
Bravo Baena, Juan;Sevilla;PP;17/08/2023;01/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado. 3 hijos.  Licenciado en Ciencias Sociales y Jurídicas.  Inspector de Hacienda.  
Cabezón Casas, Tomás;Soria;PP;17/08/2023;31/07/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado.  Diplomado en Ciencias Empresariales por la Universidad de Valladolid.  Alcalde de Castilfrío de la Sierra (2015-2019)  Concejal del Ayuntamiento de Sierra (2007-2015)  Vicepresidente Segundo de la Diputación Provincial de Soria (2011-2015) y Viceportavoz de la misma (2015-2016).  Senador durante las XI y XII Legislaturas.
Calvo Gómez, Pilar;Barcelona;JxCAT-JUNTS;17/08/2023;10/08/2023;Grupo Parlamentario Junts per Catalunya;28/08/2023;;Periodista miembro del Colegio de Periodistas de Catalunya desde 1989.  Coordinadora de la Federació de Barcelona de Junts per Catalunya.
Calvo Poyato, Carmen;Granada;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Divorciada, una hija.  Licenciada en Derecho Público por la Universidad de Sevilla.  Doctora en Derecho Constitucional por la Universidad de Córdoba.  Profesora Titular de Derecho Constitucional de la Universidad de Córdoba.  Secretaria General de la Universidad de Córdoba   Consejera de Cultura  de la Junta de Andalucía 1996-2004.  Ministra de Cultura 2004-2007.  Diputada Autonómica 2000-2004.  Diputada nacional 2004-2011.  Vicepresidenta Primera del Congreso de los Diputados 2007-2008.  Vicepresidenta del Gobierno, Ministra de la Presidencia, de Relaciones con las Cortes e Igualdad 2018-2019
Camino Miñana, Víctor;Valencia/València;PSOE;12/12/2023;12/12/2023;Grupo Parlamentario Socialista;12/12/2023;;"Graduado en Ciencias Políticas y de la Administración Pública 
Coordinador de Redes Sociales del PSPV-PSOE (2017-2020). 
Responsable de Comunicación Digital de la Generalitat Valenciana. (2020-2022) 
Secretario General de las Juventudes Socialistas. 
Vicepresidente y Coordinador del Comité Europeo de la Unión Internacional de Juventudes Socialistas (IUSY)"
Campos Asensi, Jorge;Balears (Illes);VOX;17/08/2023;09/08/2023;Grupo Parlamentario VOX;18/08/2023;;Licenciado en Derecho. Máster en gestión medioambiental.  Auditor y analista de riesgos. Director General de la Fundación de Derecho Sostenible de Baleares. Director de la Oficina de Gestión Medioambiental. Socio empresa servicios turísticos. Autónomo.  Diputado portavoz autonómico en el parlamento balear. Presidente de Vox Baleares.  Fundador de la Fundación Círculo Balear. Activista de la sociedad civil.
Cantalapiedra Álvarez, María de las Mercedes;Valladolid;PP;17/08/2023;10/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada, dos hijos.   Senadora XIV Legislatura en Cortes Generales.   Entidades Locales Ayuntamiento de Valladolid, 2003-2007, Concejala de Comercio y Turismo.   2007-2011 Teniente de Alcalde Concejala de Cultura Comercio y Turismo.    2011 2015 Primer Teniente de Alcalde Concejala de Cultura, Comercio y Turismo.   2015 2019 concejala.   2023, concejala.   Secretaria General del Partido Popular de Valladolid. 
Cantera de Castro, Zaida;Madrid;PSOE;12/12/2023;12/12/2023;Grupo Parlamentario Socialista;12/12/2023;;"Licenciatura de la Academia General Militar, Especialidad en Transmisiones.
Máster en Redes y Sistema de Información. 
Máster en Sistemas de Comunicación e Información para la Seguridad y la Defensa. 
Comandante en retiro del Ejército de Tierra"
Carazo Hermoso, Eduardo;Valladolid;PP;17/08/2023;14/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Derecho por la Universidad de Valladolid. Licenciado en Administración y Dirección de Empresas por la Universidad de Valladolid. Programa de Liderazgo en Políticas Publicas y Emprendimiento (DEUSTO-ICADE) Programa de Liderazgo en Gestión Pública IESE. Inglés avanzado por la E.C.I. de Valladolid.  Director General del Instituto de la Juventud de Castilla y León (2015-2019).
Carballedo Berlanga, María Eugenia;Madrid;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Derecho. Licenciatura en Derecho.  En la Comunidad de Madrid. Presidenta de la Asamblea en la XII Legislatura. Consejera de Presidencia en la XI Legislatura. Viceconsejera de Empleo en la IX Legislatura. Diputada nacional (2008-2011).
Casares Hontañón, Pedro;Cantabria;PSOE;17/08/2023;16/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Nacido en Santander. Licenciado en Economía. Doctor en Economía. Profesor del Área de Fundamentos del Análisis Económico en el Departamento de Economía de la Universidad de Cantabria. Ha sido miembro del Consejo de Gobierno y del Comité de Empresa de la Universidad de Cantabria
Desde el 40 Congreso Federal del PSOE es el Secretario del Área de Política Económica y de Transformación Digital de la Comisión Ejecutiva Federal del PSOE. 
Secretario General del PSOE de Santander. 
Secretario del Área de Vivienda, Ordenación del Territorio, Infraestructuras y Transportes de la Comisión Ejecutiva Federal del PSOE entre los años 2017 y 2021. 
Portavoz del PSOE en el Ayuntamiento de Santander entre los años 2015 y 2020.  
Concejal en el Ayuntamiento de Santander entre los años 2013 y 2020.  Secretario del Área de Economía y Empleo del PSOE de Cantabria entre los años 2008 y 2017."
Castilla Álvarez, María Carmen;Sevilla;PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Diplomada Universitaria enEnfermería   Licenciada en Psicología  Licenciada en Derecho  Máster Europeo Universitario en Salud Pública, Gestión Sanitaria   Doctoranda  Concejala del Ayuntamiento de Écija (2003-2007)  Subdirectora Atención Ciudadana (2010)  Directora Enfermería y Atención Ciudadana (2010-2013)  Secretaria General UGT-ANDALUCÍA (2014-2023)
Catalán Higueras, Alberto;Navarra;UPN;17/08/2023;08/08/2023;Grupo Parlamentario Mixto;28/08/2023;;Casado, una hija y dos hijos.   Licenciado en Farmacia.   Miembro del Colegio Oficial de Farmacéuticos de Navarra.   Miembro del Parlamento de Navarra, Cortes de Navarra.   Consejero de Administración Local, Relaciones Institucionales, Educación y Portavoz del Gobierno de Navarra.   Presidente del Parlamento de Navarra.   Senador. 
Cavacasillas Rodríguez, Antonio;Badajoz;PP;17/08/2023;14/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado. Dos hijos. Diplomado en Marketing y Finanzas. Licenciado en Económicas. Licenciado en Psicología. Máster EMBA.  Primer Teniente de Alcalde del Ayuntamiento de Badajoz. Portavoz Equipo de Gobierno y Grupo Popular. Delegaciones: cultura, aguas, protección civil, servicios sociales, cementerio, mujer, mayores, cooperación al desarrollo, juventud e infancia.  Presidente local PP Badajoz.
Celaya Brey, Javier;Ceuta;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Ciencias de la información, rama de periodismo por la Universidad de Sevilla 1994.   Licenciado en Geografía e Historia por la UNED, 1997.   Funcionario de carrera del Cuerpo de Profesores de Enseñanza Secundaria, especialidad de Geografía e Historia.   Consejero de Educación y Cultura de la Ciudad Autónoma de Ceuta 2017-2019.   Director General de Educación Ciudad Autónoma de Ceuta 2019-2023.   Director del centro de profesores y recursos de Ceuta 2012-2014.   Asesor técnico docente de apoyo a la Formación Profesional 2014-2015.   Jefe de la unidad de programas educativos en la dirección provincial del Ministerio de Educación en Ceuta 2015-2017. 
Cercas Mena, Blanca;Girona;PSC-PSOE;17/08/2023;04/08/2023;Grupo Parlamentario Socialista;01/09/2023;;Licenciada en Historia Contemporánea.  Gestión de Fundaciones y Proyectos, Universidad Girona. Fundación U.D.G.  Fundación OSCOBE, Girona.  Fundación LETHE, Girona.  Federalistes d'Esquerres de Catalunya
Cerdán León, Santos;Navarra;PSN-PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Nacido en Pamplona. Técnico Superior Electrónica Industrial EPII.  Técnico Mantenimiento en IBERFRUTA y BONDUELLE.  Concejal del Ayuntamiento Milagro 1999-2003, 2007-2011, 2011-2015.  Presidente de la Mancomunidad RSU Ribera Alta 2000-2004.  Parlamentario Foral 2011-2015, 2015-2017.  Secretario de Organización PSN/PSOE 2011-2017.  Secretario Ejecutivo de Coordinación Territorial PSOE 2017-actualidad	
Cervera Pinart, Josep Maria;Girona;JxCAT-JUNTS;17/08/2023;10/08/2023;Grupo Parlamentario Junts per Catalunya;28/08/2023;;Casado con dos hijos.   Licenciado en Geografía e Historia.   Alcalde del Port de la Selva, Girona, 2011-actualidad.   Senador de la XIV Legislatura. 
Chamorro Delmo, Ricardo;Ciudad Real;VOX;17/08/2023;14/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado. Tres hijos.  Licenciado en Derecho por la Universidad de Navarra.  Abogado. Especializado en Derecho Privado por el Consejo General del Notariado.  Certificado por AENOR como Delegado de Protección de Datos
Clavell López, Óscar;Castellón/Castelló;PP;17/08/2023;04/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Soltero.  Licenciado en Historia por la Universidad de Valencia.  Máster universitario en Historia e Identidades en el Mediterráneo Occidental (siglos XV-XIX).  Doctor en Historia.  Presidente local del Partido Popular de La Vall d'Uxó.  Alcalde (2011-2015)
Clemente Muñoz, Raquel;Teruel;PP;17/08/2023;14/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Formación en dirección y Administración de Empresas, Finanzas, Comercio Internacional y Economía Circular.   Experta en Desarrollo Territorial.   Consultora Directora de proyectos.   Alcaldesa de Celadas desde 2011.   Senadora del Reino de España en las legislaturas XI y XII. 
