codigo_mun,mun,election,censo,perc_escrutado,blancos,nulos,candidaturas,part,codigo_candidatura,partido,orden,votos,perc_votos
36042,Ponteareas,2024,18621,100,96,178,12014,65.99,0012,PACMA,7,53,0.43
36043,Ponte Caldelas,2024,4735,100,17,29,3023,64.81,0012,PACMA,7,13,0.42
36044,Pontecesures,2024,2611,100,10,15,1759,68.32,0001,PODEMOS,8,6,0.33
36045,Redondela,2024,24423,100,108,180,16208,67.54,0012,PACMA,7,81,0.49
36046,Ribadumia,2024,4173,100,21,45,3004,73.56,0012,PACMA,7,13,0.42
36047,Rodeiro,2024,2047,100,7,10,1465,72.39,0001,PODEMOS,8,1,0.06
36048,O Rosal,2024,5472,100,32,70,3648,68.53,0012,PACMA,7,13,0.35
36049,Salceda de Caselas,2024,7271,100,33,76,4976,69.93,0012,PACMA,7,22,0.43
36050,Salvaterra de Miño,2024,8080,100,43,80,5375,68.04,0012,PACMA,7,23,0.42
36051,Sanxenxo,2024,14797,100,78,101,9749,67.09,0012,PACMA,7,28,0.28
36052,Silleda,2024,7228,100,30,72,5000,70.58,0001,PODEMOS,8,11,0.21
36053,Soutomaior,2024,6040,100,27,41,4205,70.74,0012,PACMA,7,13,0.3
36054,Tomiño,2024,11343,100,66,79,7434,66.81,0012,PACMA,7,21,0.27
36055,Tui,2024,13816,100,82,129,9339,69.12,0012,PACMA,7,33,0.35
36056,Valga,2024,4830,100,19,39,3453,72.69,0012,PACMA,7,9,0.25
36057,Vigo,2024,236843,100,1484,1153,151975,65.28,0012,PACMA,7,833,0.54
36058,Vilaboa,2024,4990,100,31,46,3103,63.72,0012,PACMA,7,12,0.38
36059,Vila de Cruces,2024,4366,100,15,36,2941,68.52,0001,PODEMOS,8,5,0.16
36060,Vilagarcía de Arousa,2024,30666,100,132,200,19638,65.12,0012,PACMA,7,96,0.48
36061,Vilanova de Arousa,2024,8554,100,50,97,5973,71.54,0012,PACMA,7,16,0.26
36901,A Illa de Arousa,2024,4140,100,19,54,2992,74.03,0012,PACMA,7,15,0.49
36902,Cerdedo-Cotobade,2024,4966,100,21,49,3521,72.31,0006,ESCANOS EN BRANCO,9,6,0.16
15001,Abegondo,2024,4824,100,35,40,3273,69.4,0001,PODEMOS,8,7,0.21
15002,Ames,2024,25170,100,204,159,16901,68.58,0013,ECG,10,63,0.36
15003,Aranga,2024,1595,100,7,8,1121,71.22,0006,ESCANOS EN BRANCO,9,2,0.17
